INSTNM,SAT_AVG_ALL,UGDS,UGDS_WHITE,MD_EARN_WNE_P10
Longy School of Music of Bard College,NULL,52,0.3269,NULL
Lowell Academy Hairstyling Institute,NULL,132,0.5758,18400
University of Massachusetts-Lowell,1197,13092,0.6351,50800
Mansfield Beauty Schools-Springfield,NULL,25,0.2,PrivacySuppressed
Mansfield Beauty Schools-Quincy,NULL,56,0.7143,16700
University of Massachusetts-Amherst,1226,22405,0.6702,49700
University of Massachusetts-Boston,1055,12397,0.3623,47000
Massachusetts Bay Community College,NULL,3859,0.5115,39200
MCPHS University,1070,3877,0.4168,112700
Massachusetts College of Art and Design,1086,1736,0.6308,34600
Massachusetts Institute of Technology,1507,4474,0.3657,94200
Massachusetts Maritime Academy,1065,1537,0.8712,79300
University of Massachusetts Medical School Worcester,NULL,NULL,NULL,183400
William James College,NULL,NULL,NULL,NULL
Massachusetts School of Barbering,NULL,77,0.6234,PrivacySuppressed
Massasoit Community College,NULL,6571,0.5485,32500
Merrimack College,NULL,3129,0.728,54800
MGH Institute of Health Professions,NULL,192,0.7656,PrivacySuppressed
Middlesex Community College,NULL,8202,0.5768,34100
Montserrat College of Art,NULL,358,0.5363,30900
Mount Holyoke College,NULL,2099,0.4469,46100
Mount Ida College,906,1317,0.6219,38100
Mount Wachusett Community College,NULL,3648,0.6938,31300
Cortiva Institute-Boston,NULL,154,0.4286,31700
School of the Museum of Fine Arts at Tufts University,NULL,231,0.4935,28200
Rob Roy Academy-New Bedford,NULL,16,0.625,13700
The New England Conservatory of Music,NULL,377,0.3899,26800
New England College of Optometry,NULL,NULL,NULL,83600
New England School of Acupuncture,NULL,NULL,NULL,NULL
New England Law-Boston,NULL,NULL,NULL,67700
New England School of Photography,NULL,60,0.7167,29200
Newbury College,NULL,861,0.3577,36200
Nichols College,NULL,1256,0.8097,48100
Massachusetts College of Liberal Arts,1016,1423,0.7372,34900
North Bennet Street School,NULL,161,0.8261,34700
North Shore Community College,NULL,6197,0.5669,32100
The New England Institute of Art,NULL,262,0.4198,34600
Northeastern University,1435,13620,0.4787,64000
Northern Essex Community College,NULL,6010,0.4952,31100
College of Our Lady of the Elms,976,1268,0.5623,44700
Pine Manor College,775,448,0.0469,35600
Pope St John XXIII National Seminary,NULL,NULL,NULL,NULL
Quincy College,NULL,4135,0.431,38700
Quinsigamond Community College,NULL,7223,0.5625,33700
Regis College,NULL,1235,0.4988,45300
Roxbury Community College,NULL,2132,0.0553,33500
Saint John's Seminary,NULL,33,0.7576,NULL
Salem State University,NULL,7091,0.6813,41000
Salter College-West Boylston,NULL,348,0.4914,27100
Simmons College,1163,1717,0.6674,49000
Bard College at Simon's Rock,NULL,325,0.5446,29200
Smith College,NULL,2471,0.45,44900
Southeastern Technical Institute,NULL,121,0.6446,37100
Springfield College,1042,2134,0.8149,43000
Springfield Technical Community College,NULL,5658,0.4797,29700
University of Massachusetts-Dartmouth,1025,7054,0.6384,46600
Stonehill College,NULL,2387,0.8287,58700
Suffolk University,1024,5352,0.4021,51800
Rob Roy Academy-Taunton,NULL,52,0.8462,16300
Tufts University,1424,5236,0.5817,66500
Wellesley College,1369,2344,0.3959,60100
Wentworth Institute of Technology,1104,4288,0.6026,60300
Western New England University,1080,2726,0.7333,54900
Westfield State University,1001,5459,0.7732,43900
Wheaton College,NULL,1565,0.6709,46700
Wheelock College,944,809,0.6044,36000
Williams College,1442,2070,0.5357,54100
Worcester Polytechnic Institute,NULL,4177,0.6294,82600
Worcester State University,1020,5049,0.7102,45600
Adrian College,1008,1622,0.7207,36900
Albion College,1104,1360,0.7669,46200
Hillsdale Beauty College,NULL,35,0.9714,PrivacySuppressed
Northwestern Technological Institute,NULL,386,0.3627,32500
Alma College,1110,1345,0.8283,42800
Alpena Community College,NULL,1120,0.9393,27900
Andrews University,1091,1513,0.2882,38200
Aquinas College,1090,1692,0.8227,35500
Baker College,NULL,22816,0.7586,26400
Bay de Noc Community College,NULL,1497,0.8884,29300
Bayshire Academy of Beauty Craft Inc,NULL,35,0.8,10700
Cadillac Institute of Cosmetology,NULL,25,0.92,PrivacySuppressed
Calvin College,1202,3788,0.7368,43300
Calvin Theological Seminary,NULL,NULL,NULL,PrivacySuppressed
Carnegie Institute,NULL,190,0.8632,29400
Michigan School of Professional Psychology,NULL,NULL,NULL,NULL
Central Michigan University,1049,19954,0.7876,40200
Mott Community College,NULL,7556,0.6754,24800
Empire Beauty School-Michigan,NULL,263,0.6654,17200
Cleary University,950,455,0.7912,49200
Concordia University-Ann Arbor,1052,637,0.7834,35800
Cranbrook Academy of Art,NULL,NULL,NULL,NULL
College for Creative Studies,1070,1394,0.5839,40200
Davenport University,NULL,5774,0.6702,29400
David Pressley School of Cosmetology,NULL,197,0.5228,19100
Delta College,NULL,7672,0.802,28900
Detroit Business Institute-Downriver,NULL,62,0.5968,19900
Michigan State University-College of Law,NULL,NULL,NULL,NULL
MIAT College of Technology,NULL,541,0.6673,39300
University of Detroit Mercy,1122,2586,0.6466,46100
Dorsey Business Schools-Madison Heights,NULL,264,0.2689,21600
Dorsey Business Schools-Southgate,NULL,123,0.5528,21600
Eastern Michigan University,1029,17275,0.6501,37500
Ferris State University,1009,12571,0.7885,42700
Flint Institute of Barbering Inc,NULL,56,0.3036,PrivacySuppressed
Glen Oaks Community College,NULL,629,0.7949,28800
Kettering University,1204,1802,0.758,78600
Gogebic Community College,NULL,825,0.8861,28800
Grace Bible College,NULL,789,0.6109,28100
Cornerstone University,1033,1912,0.7777,36400
Grand Rapids Community College,NULL,13840,0.6876,30300
Grand Valley State University,1090,21889,0.8258,41000
Great Lakes Christian College,NULL,158,0.7532,25700
Henry Ford College,NULL,11129,0.5164,31300
Hope College,1205,3254,0.8374,43500
ITT Technical Institute-Wyoming,NULL,243,0.6461,38800
Jackson College,NULL,4829,0.6784,29400
Kalamazoo College,NULL,1415,0.5993,47800
Kalamazoo Valley Community College,NULL,7479,0.7315,29000
Kellogg Community College,NULL,3943,0.7436,30000
Kirtland Community College,NULL,1220,0.918,24700
Michigan College of Beauty-Monroe,NULL,177,0.8362,PrivacySuppressed
Lake Michigan College,NULL,2812,0.6486,24100
Lake Superior State University,1027,2095,0.801,36200
Lansing Community College,NULL,13909,0.6734,30800
Lawrence Technological University,1156,2134,0.604,55400
M J Murphy Beauty College of Mount Pleasant,NULL,66,0.9394,PrivacySuppressed
Macomb Community College,NULL,15955,0.6872,31700
Madonna University,1030,2712,0.6327,39600
Marygrove College,780,676,0.1731,27700
Rochester College,949,995,0.599,34400
University of Michigan-Ann Arbor,1384,28120,0.6156,60100
Michigan Barber School Inc,NULL,147,0.0816,16700
Michigan State University,1159,38853,0.6742,51500
Michigan Technological University,1207,5623,0.8609,64700
University of Michigan-Dearborn,1105,6845,0.692,46600
University of Michigan-Flint,992,6255,0.666,40000
Mid Michigan Community College,NULL,2780,0.8119,27500
Monroe County Community College,NULL,1679,0.8362,30600
Montcalm Community College,NULL,1380,0.9232,26700
Mr Bela's School of Cosmetology Inc,NULL,64,0.5938,17000
Muskegon Community College,NULL,3587,0.7759,27400
Everest Institute-Southfield,NULL,555,0.0685,20900
North Central Michigan College,NULL,2158,0.8323,24900
Northern Michigan University,1011,7278,0.8498,34000
Paul Mitchell the School-Escanaba,NULL,45,0.9556,PrivacySuppressed
Northwestern Michigan College,NULL,3824,0.8428,29100
Northwood University,1026,2904,0.6698,45100
Oakland Community College,NULL,16462,0.6036,29500
Oakland University,1070,16392,0.7556,41900
Olivet College,931,917,0.7492,36400
Port Huron Cosmetology College,NULL,47,0.5745,PrivacySuppressed
Kuyper College,1010,255,0.8039,27200
Ross Medical Education Center-Lansing,NULL,150,0.7533,23600
Ross Medical Education Center-Madison Heights,NULL,195,0.4923,24400
Ross Medical Education Center-Flint,NULL,270,0.4741,20400
Sacred Heart Major Seminary,NULL,216,0.5139,PrivacySuppressed
Saginaw Valley State University,1030,8434,0.7076,37600
Schoolcraft College,NULL,10475,0.6623,31200
Siena Heights University,1027,2378,0.5963,38900
St Clair County Community College,NULL,2694,0.8753,29100
Southwestern Michigan College,NULL,1951,0.7212,26400
Specs Howard School of Media Arts,NULL,553,0.4738,28400
Spring Arbor University,1073,2310,0.7693,38900
Michigan Career and Technical Institute,NULL,222,0.8468,20800
Finlandia University,886,506,0.6482,30800
Western Michigan University-Thomas M. Cooley Law School,NULL,NULL,NULL,NULL
Twin City Beauty College,NULL,243,0.8025,15100
Walsh College of Accountancy and Business Administration,NULL,939,0.8296,56900
Washtenaw Community College,NULL,10135,0.6457,28100
Wayne County Community College District,NULL,11937,0.2159,24000
Wayne State University,1070,16728,0.5691,39900
West Shore Community College,NULL,935,0.8193,26800
Paul Mitchell the School-Grand Rapids,NULL,45,0.8889,NULL
Western Michigan University,1030,18179,0.7236,43700
Western Theological Seminary,NULL,NULL,NULL,NULL
Wright Beauty Academy,NULL,53,0.6604,16300
Academy College,NULL,116,0.4655,36600
Alexandria Technical & Community College,NULL,1555,0.9048,37600
American Indian OIC Inc,NULL,33,0.1212,PrivacySuppressed
Anoka Technical College,NULL,1642,0.7771,39800
Anoka-Ramsey Community College,NULL,5780,0.7663,36900
Augsburg College,1032,2430,0.5296,47300
Riverland Community College,NULL,2173,0.7699,32400
Northwest Technical College,NULL,725,0.7614,PrivacySuppressed
Bemidji State University,1010,4380,0.8521,39600
Bethany Lutheran College,1074,492,0.8801,34600
Bethel University,1127,2875,0.7774,45100
Bethel Seminary-St Paul,1127,NULL,NULL,45100
Central Lakes College-Brainerd,NULL,2093,0.8629,31800
Carleton College,1400,1995,0.6336,52600
Concordia College at Moorhead,NULL,2104,0.8498,42400
Concordia University-Saint Paul,NULL,2289,0.6466,50700
Dakota County Technical College,NULL,2306,0.7389,35900
Martin Luther College,1145,747,0.9344,36900
Lake Superior College,NULL,3378,0.8437,34700
Cosmetology Careers Unlimited College of Hair Skin and Nails,NULL,17,1,PrivacySuppressed
Duluth Business University,NULL,144,0.9444,22800
Minnesota State Community and Technical College,NULL,4493,0.787,34300
Globe University-Woodbury,NULL,518,0.7915,28500
Minnesota West Community and Technical College,NULL,1841,0.7681,33600
Gustavus Adolphus College,NULL,2369,0.8257,48400
Hamline University,1127,2167,0.7217,47600
Hazelden Betty Ford Graduate School of Addiction Studies,NULL,0,0,NULL
Hennepin Technical College,NULL,5052,0.5216,33700
Cosmetology Careers Unlimited College of Hair Skin and Nails,NULL,20,1,PrivacySuppressed
Hibbing Community College,NULL,1067,0.8585,34500
Aveda Institute-Minneapolis,NULL,487,0.7782,28100
Inver Hills Community College,NULL,4150,0.6318,39400
Itasca Community College,NULL,891,0.7912,33800
The Art Institutes International-Minnesota,NULL,712,0.6362,34900
Luther Seminary,NULL,NULL,NULL,PrivacySuppressed
Macalester College,1358,2149,0.6552,45300
South Central College,NULL,2533,0.7386,34500
Minnesota State University-Mankato,1030,12259,0.7625,43100
Regency Beauty Institute-Blaine,NULL,110,0.6182,21800
Mayo Clinic School of Medicine,NULL,NULL,NULL,65900
Mayo Clinic School of Health Sciences,NULL,195,0.6667,65900
Argosy University-Twin Cities,NULL,966,0.7899,37800
Mesabi Range College,NULL,781,0.7785,31400
Metropolitan State University,NULL,7244,0.5442,46000
University of Minnesota-Twin Cities,1285,30511,0.6971,49800
University of Minnesota-Crookston,1026,1874,0.7818,41300
Minneapolis Business College,NULL,196,0.7041,34800
Minneapolis College of Art and Design,1096,668,0.5898,34500
Minneapolis Community and Technical College,NULL,7506,0.3876,31300
Herzing University-Minneapolis,NULL,288,0.6007,40300
Minnesota School of Cosmetology-Woodbury Campus,NULL,126,0.6429,PrivacySuppressed
Crossroads College,NULL,80,0.675,31500
University of Minnesota-Duluth,1109,8929,0.8582,45300
University of Minnesota-Morris,1146,1741,0.6198,39500
Minnesota School of Business-Richfield,NULL,560,0.7607,32700
Model College of Hair Design,NULL,73,0.9452,20400
Minnesota State University Moorhead,1049,5045,0.7776,38000
North Hennepin Community College,NULL,6024,0.4472,37800
National American University-Roseville,NULL,230,0.3696,34800
Sanford-Brown College-Mendota Heights,NULL,69,0.3333,31500
Normandale Community College,NULL,7541,0.5745,38100
North Central University,1024,1008,0.7907,30800
Northland Community and Technical College,NULL,2375,0.7789,37100
University of Northwestern-St Paul,1102,1954,0.8388,36600
Northwestern Health Sciences University,NULL,163,0.4417,45500
Oak Hills Christian College,930,113,0.8496,23900
Regency Beauty Institute-Burnsville,NULL,117,0.6581,21800
Pine Technical & Community College,NULL,664,0.8539,28900
Rainy River Community College,NULL,214,0.6075,27100
Rochester Community and Technical College,NULL,4761,0.729,35800
College of Saint Benedict,1118,1943,0.7916,50000
St Cloud Technical and Community College,NULL,4192,0.7939,37200
Regency Beauty Institute-St Cloud,NULL,75,0.7867,21800
Saint Cloud State University,1030,10610,0.7271,42900
Saint Johns University,1148,1742,0.8042,59100
Saint Mary's University of Minnesota,1046,1719,0.5899,44200
St Olaf College,1282,3005,0.7454,47300
Crown College,1019,912,0.7423,32800
The College of Saint Scholastica,1067,2757,0.8292,51000
University of St Thomas,1202,6076,0.8117,55600
Empire Beauty School-Bloomington,NULL,129,0.3798,19100
St Catherine University,1032,3265,0.6374,46700
Rasmussen College-Minnesota,NULL,3990,0.7464,31000
Saint Paul College,NULL,5414,0.3389,31700
Southwest Minnesota State University,1008,2300,0.7957,37100
Summit Academy Opportunities Industrialization Center,NULL,291,0.2165,16400
United Theological Seminary of the Twin Cities,NULL,NULL,NULL,NULL
Vermilion Community College,NULL,420,0.7714,32300
Dunwoody College of Technology,NULL,1092,0.7793,49400
Ridgewater College,NULL,2935,0.8382,32600
Minnesota State College Southeast,NULL,1555,0.8463,32300
Winona State University,1050,7833,0.8674,42700
Mitchell Hamline School of Law,NULL,NULL,NULL,80100
Century College,NULL,8256,0.5665,36400
Alcorn State University,871,2911,0.0271,30100
Belhaven University,NULL,2653,0.3536,35700
Blue Mountain College,990,436,0.8555,30100
Chris Beauty College,NULL,42,0.6905,15000
Coahoma Community College,NULL,1896,0.0469,19600
Antonelli College-Jackson,NULL,380,0.2868,21100
Copiah-Lincoln Community College,NULL,2617,0.5036,25900
Delta Beauty College,NULL,35,0.2571,15500
Delta State University,970,2440,0.5713,33600
East Central Community College,NULL,2172,0.5396,27900
East Mississippi Community College,NULL,4196,0.4993,24500
Fosters Cosmetology College,NULL,41,0.0732,PrivacySuppressed
Academy of Hair Design-Grenada,NULL,21,0,16400
Hinds Community College,NULL,10612,0.3697,25900
Holmes Community College,NULL,5150,0.4501,27700
Itawamba Community College,NULL,4818,0.6831,26400
Jackson State University,910,7436,0.0409,29100
Jones County Junior College,NULL,4727,0.6372,27200
Meridian Community College,NULL,3188,0.4693,25400
Millsaps College,1163,757,0.7358,46300
Mississippi Delta Community College,NULL,2104,0.2809,23100
University of Mississippi,1118,18472,0.7816,41100
Mississippi University for Women,1012,2192,0.5666,33100
Mississippi Valley State University,850,1767,0.0277,22700
Mississippi College,1106,2898,0.6653,38400
Mississippi College of Beauty Culture,NULL,55,0.8364,PrivacySuppressed
Mississippi Gulf Coast Community College,NULL,8792,0.63,27100
Mississippi State University,1140,16712,0.7211,40300
Northeast Mississippi Community College,NULL,3148,0.7554,28000
Northwest Mississippi Community College,NULL,7074,0.6055,27100
Pearl River Community College,NULL,4379,0.6842,26800
Rust College,780,856,0.0047,22900
Southeastern Baptist College,NULL,36,0.5556,20800
Southwest Mississippi Community College,NULL,1762,0.5335,24400
University of Southern Mississippi,1049,11737,0.6091,35800
Magnolia College of Cosmetology,NULL,135,0.0815,15900
Tougaloo College,844,856,0.0047,25900
Wesley Biblical Seminary,NULL,NULL,NULL,NULL
William Carey University,1071,2047,0.5984,34700
Aquinas Institute of Theology,NULL,NULL,NULL,NULL
Assemblies of God Theological Seminary,1064,NULL,NULL,34400
Avila University,986,1369,0.5895,42500
ITT Technical Institute-Earth City,NULL,477,0.4193,38800
Baptist Bible College,NULL,348,0.8563,28200
House of Heavilin Beauty College-Blue Springs,NULL,160,0.8313,15100
Cox College,NULL,773,0.8875,40400
Calvary University,1010,226,0.7965,32600
Cape Girardeau Career and Technology Center,NULL,252,0.8889,32400
Central Christian College of the Bible,985,271,0.8229,29300
Central Methodist University-College of Liberal Arts and Sciences,1043,1091,0.7828,34700
University of Central Missouri,1010,9019,0.7667,36700
Grand River Technical School,NULL,98,1,35600
Chillicothe Beauty Academy Inc,NULL,9,1,PrivacySuppressed
Cleveland University-Kansas City,910,45,0.3111,38900
Columbia Area Career Center,NULL,69,0.8261,29300
Columbia College,NULL,13418,0.5532,37400
Conception Seminary College,1145,93,0.7204,PrivacySuppressed
Concordia Seminary,NULL,NULL,NULL,PrivacySuppressed
Cottey College,1049,321,0.6012,33700
Covenant Theological Seminary,NULL,NULL,NULL,NULL
Crowder College,NULL,3923,0.7905,25900
Culver-Stockton College,968,973,0.7081,36500
Drury University,1185,3082,0.7979,31500
East Central College,NULL,2543,0.9461,28100
Eden Theological Seminary,NULL,NULL,NULL,NULL
Elaine Steven Beauty College,NULL,158,0.2025,15500
Pinnacle Career Institute-South Kansas City,NULL,807,0.5675,28200
Evangel University,1064,1723,0.7806,34400
Fontbonne University,1050,1086,0.7099,40800
Four Rivers Career Center,NULL,34,0.9118,PrivacySuppressed
Ozarks Technical Community College,NULL,11655,0.8389,28400
Hannibal-LaGrange University,NULL,847,0.8135,33700
Harris-Stowe State University,NULL,1363,0.0712,26800
Hickey College,NULL,391,0.7749,30000
House of Heavilin Beauty College-Kansas City,NULL,31,0.0323,17000
Independence College of Cosmetology,NULL,44,0.8636,19400
Jefferson College,NULL,4563,0.8882,30600
Paul Mitchell the School-Missouri Columbia,NULL,76,0.7368,PrivacySuppressed
Barnes-Jewish College Goldfarb School of Nursing,NULL,565,0.7894,53200
Kansas City Art Institute,1073,642,0.6293,30200
Kenrick Glennon Seminary,NULL,50,0.92,NULL
A T Still University of Health Sciences,NULL,NULL,NULL,197900
Lake Career and Technical Center,NULL,13,1,PrivacySuppressed
Lex La-Ray Technical Center,NULL,32,1,PrivacySuppressed
Lincoln University,NULL,2256,0.3599,28900
Lindenwood University,1043,7787,0.5621,39200
State Technical College of Missouri,NULL,1171,0.9471,39900
Logan University,NULL,52,0.5,46100
Metropolitan Community College-Kansas City,NULL,15198,0.6303,29900
Maryville University of Saint Louis,1145,2703,0.754,46200
Merrell University of Beauty Arts and Science,NULL,105,0.8571,24400
Metro Business College-Cape Girardeau,NULL,92,0.8804,19300
Midwest Institute,NULL,202,0.6535,20600
Midwestern Baptist Theological Seminary,983,319,0.8088,PrivacySuppressed
Mineral Area College,NULL,3497,0.9033,26400
Missouri Baptist University,961,1740,0.6885,34600
National Academy of Beauty Arts-Farmington,NULL,50,0.96,PrivacySuppressed
Missouri College,NULL,722,0.3213,21500
Missouri School of Barbering,NULL,15,0.4667,PrivacySuppressed
Missouri Southern State University,1030,5202,0.7724,32500
Missouri Valley College,NULL,1389,0.4932,33400
Missouri Western State University,NULL,4420,0.7932,33100
University of Missouri-Columbia,1203,27393,0.787,46100
University of Missouri-Kansas City,1130,7977,0.5764,43900
Missouri University of Science and Technology,1261,6747,0.7815,67100
University of Missouri-St Louis,1105,8275,0.6251,40600
Moberly Area Community College,NULL,3806,0.7914,28500
Hillyard Technical Center,NULL,128,0.9453,38200
National Academy of Beauty Arts-St Louis,NULL,145,0.7655,18700
Nazarene Theological Seminary,NULL,NULL,NULL,NULL
Neosho Beauty College,NULL,40,0.975,13700
Truman State University,1246,5290,0.7989,43700
Northwest Missouri State University,1047,5288,0.7863,37800
Ozark Christian College,NULL,678,0.8496,28700
College of the Ozarks,1069,1441,0.9278,32800
Park University,NULL,10105,0.4871,45300
Stevens-The Institute of Business & Arts,NULL,127,0.3071,24900
Poplar Bluff Technical Career Center,NULL,60,0.8667,25600
Ranken Technical College,NULL,1923,0.7192,46200
Research College of Nursing,NULL,233,0.7296,65600
Rockhurst University,1162,1555,0.7241,47900
Rolla Technical Institute/Center,NULL,138,0.9348,25800
Everest College-Springfield,NULL,155,0.8387,23600
Saint Louis University,1257,7502,0.6804,54400
Salem College of Hairstyling,NULL,46,0.9348,PrivacySuppressed
American College of Hair Design Inc,NULL,33,0.6667,PrivacySuppressed
Sikeston Career and Technology Center,NULL,46,0.8696,28400
Saint Louis Christian College,990,153,0.6144,24700
St Louis College of Pharmacy,1198,435,0.5655,120400
Saint Louis Community College,NULL,17312,0.5433,27100
Saint Paul School of Theology,NULL,NULL,NULL,NULL
Southwest Baptist University,1058,2394,0.8296,32900
Missouri State University-West Plains,NULL,1376,0.8525,26400
Saint Luke's College of Health Sciences,NULL,434,0.7028,63000
St Louis College of Health Careers-St Louis,NULL,299,0.0268,23700
State Fair Community College,NULL,3886,0.8482,29000
Stephens College,1036,710,0.6944,33400
Southeast Missouri State University,1050,9098,0.7748,36100
Missouri State University-Springfield,1090,16617,0.8085,37400
Three Rivers Community College,NULL,3057,0.8358,26000
North Central Missouri College,NULL,1085,0.8977,27800
Kansas City University of Medicine and Biosciences,NULL,NULL,NULL,NULL
Washington University in St Louis,1469,7032,0.5454,66300
Webster University,1109,3150,0.5994,41100
Wentworth Military Academy and College,NULL,328,0.6494,24300
Westminster College,1084,940,0.6543,41600
William Jewell College,1160,1053,0.7806,44200
William Woods University,1035,968,0.7076,34700
Academy of Cosmetology,NULL,16,1,PrivacySuppressed
Blackfeet Community College,NULL,440,0.0273,14900
Butte Academy of Beauty Culture,NULL,37,0.9189,PrivacySuppressed
Highlands College of Montana Tech,1145,549,0.8634,41100
Crevier's Academy of Cosmetology Arts,NULL,84,0.9524,NULL
Carroll College,1110,1428,0.8046,43500
Dawson Community College,NULL,207,0.7585,31100
Chief Dull Knife College,NULL,170,0.0471,17600
Montana State University-Billings,NULL,3727,0.8192,33800
Flathead Valley Community College,NULL,1570,0.8535,26700
Aaniiih Nakoda College,NULL,121,0.0331,20000
Fort Peck Community College,NULL,272,0.1287,15800
Great Falls College Montana State University,NULL,1396,0.8181,30100
University of Great Falls,NULL,1052,0.7243,32300
Helena College University of Montana,NULL,948,0.8565,33300
Little Big Horn College,NULL,231,0.0303,14300
Miles Community College,NULL,368,0.8397,35000
Modern Beauty School Inc,NULL,34,0.8824,PrivacySuppressed
Montana Tech of the University of Montana,1145,1898,0.7597,41100
Montana State University,1131,13488,0.8565,40400
The University of Montana,1090,10175,0.792,34700
Montana State University-Northern,892,1154,0.7478,35100
Rocky Mountain College,1037,906,0.7781,37500
Salish Kootenai College,NULL,717,0.2064,26000
The University of Montana-Western,NULL,1353,0.8788,29600
La'James International College,NULL,24,0.7083,16800
Bellevue University,NULL,6002,0.4982,52800
Clarkson College,1050,704,0.7642,48900
Bryan College of Health Sciences,1090,602,0.912,48500
Central Community College,NULL,3965,0.739,29200
Chadron State College,NULL,2099,0.748,37000
College of Hair Design-Downtown,NULL,103,0.5922,19400
Concordia University-Nebraska,1076,1255,0.7546,36900
Creighton University,1196,4080,0.71,56100
Doane University-Arts & Sciences,1064,1053,0.8177,44200
Grace University,1003,390,0.7026,31200
Hastings College,1055,1103,0.8005,41700
CHI Health School of Radiologic Technology,NULL,19,0.7895,PrivacySuppressed
Joseph's College Cosmetology,NULL,245,0.702,16300
University of Nebraska at Kearney,1049,4819,0.7908,39100
Kaplan University-Lincoln Campus,NULL,449,0.6748,33500
Nebraska Methodist College of Nursing & Allied Health,1110,765,0.8549,47100
Metropolitan Community College Area,NULL,6130,0.5972,29300
Mid-Plains Community College,NULL,1215,0.8041,29200
Midland University,962,1220,0.4434,38800
Nebraska Christian College of Hope International University,NULL,123,0.9512,26000
University of Nebraska at Omaha,1050,12287,0.6888,42300
Kaplan University-Omaha Campus,NULL,597,0.5812,33500
Nebraska Indian Community College,NULL,139,0,15400
University of Nebraska Medical Center,NULL,865,0.8647,67300
Nebraska Wesleyan University,1121,1781,0.8456,45300
University of Nebraska-Lincoln,1145,20182,0.7709,43700
Northeast Community College,NULL,2714,0.7786,33600
Peru State College,NULL,1466,0.779,35600
College of Saint Mary,NULL,705,0.7404,38800
Southeast Community College Area,NULL,6516,0.7934,36100
Union College,1050,762,0.5472,40400
Vatterott College-Spring Valley,NULL,6,0.8333,25500
Nebraska College of Technical Agriculture,1145,253,0.9407,43700
Wayne State College,NULL,2783,0.8193,35400
Regional West Medical Center School of Radiologic Technology,NULL,11,0.8182,NULL
Western Nebraska Community College,NULL,1232,0.6631,27900
York College,950,404,0.599,36000
Academy of Hair Design-Las Vegas,NULL,48,0.3333,15600
Career College of Northern Nevada,NULL,541,0.5176,25700
College of Southern Nevada,NULL,28685,0.3333,31900
The Art Institute of Las Vegas,NULL,846,0.253,29600
Everest College-Henderson,NULL,417,0.2662,25100
University of Nevada-Las Vegas,1007,23325,0.352,43200
University of Nevada-Reno,1084,17295,0.6047,45000
Great Basin College,NULL,1926,0.6599,31100
Sierra Nevada College,1012,498,0.7269,44900
Truckee Meadows Community College,NULL,8548,0.5703,32800
Western Nevada College,NULL,3327,0.6573,28800
Colby-Sawyer College,NULL,1205,0.668,39900
Continental Academie of Hair Design-Hudson,NULL,45,0.9556,23600
Daniel Webster College,NULL,675,0.6548,53500
Dartmouth College,1437,4214,0.4874,70000
Empire Beauty School-Laconia,NULL,53,1,18800
Empire Beauty School-Somersworth,NULL,112,0.9286,19300
Franklin Pierce University,943,1661,0.755,37500
University of New Hampshire-School of Law,1107,NULL,NULL,87100
Mount Washington College,NULL,747,0.6399,30600
Keene Beauty Academy,NULL,59,0.8814,20300
Northeast Catholic College,NULL,36,0.8611,NULL
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,NULL,137,0.8248,21600
New England College,NULL,1886,0.5292,34100
New England School of Hair Design,NULL,33,0.9394,21100
Southern New Hampshire University,NULL,42247,0.4508,41700
New Hampshire Institute for Therapeutic Arts,NULL,33,0.8788,PrivacySuppressed
University of New Hampshire-Main Campus,1107,12789,0.8076,47700
Keene State College,991,4186,0.865,41200
University of New Hampshire at Manchester,1107,696,0.7414,47700
Plymouth State University,NULL,4000,0.8115,38600
NHTI-Concord's Community College,NULL,3642,0.8273,38200
White Mountains Community College,NULL,570,0.8842,32800
River Valley Community College,NULL,865,0.7815,PrivacySuppressed
Lakes Region Community College,NULL,981,0.8369,PrivacySuppressed
Manchester Community College,NULL,2582,0.6662,36000
Nashua Community College,NULL,1824,0.7708,35200
Great Bay Community College,NULL,1811,0.8393,PrivacySuppressed
Paul Mitchell the School-Portsmouth,NULL,52,0.9808,PrivacySuppressed
Rivier University,NULL,1344,0.7894,43100
Saint Anselm College,NULL,1908,0.8318,55500
St Joseph School of Nursing,NULL,123,0.748,40400
Granite State College,NULL,1813,0.8478,33800
Thomas More College of Liberal Arts,NULL,87,0.8046,PrivacySuppressed
Eastwick College-Hackensack,NULL,337,0.1157,25700
Atlantic Cape Community College,NULL,5950,0.4745,26100
Fortis Institute-Wayne,NULL,523,0.2333,28800
Bergen Community College,NULL,13575,0.3132,36500
Berkeley College-Woodland Park,NULL,3794,0.1534,38100
Beth Medrash Govoha,NULL,2747,0.9661,24800
Bloomfield College,855,1937,0.0965,35900
Brookdale Community College,NULL,11805,0.6569,33500
Rowan College at Burlington County,NULL,8014,0.5515,34900
Caldwell University,969,1576,0.3928,41700
Camden County College,NULL,10284,0.507,31600
Centenary University,929,1548,0.5549,43800
Adult and Continuing Education-BCTS,NULL,82,0.4512,PrivacySuppressed
Branford Hall Career Institute-Parsippany,NULL,96,0.2813,41500
Lincoln Technical Institute-Iselin,NULL,427,0.2155,27700
American Institute-Clifton,NULL,661,0.1029,24100
Cooper Health System Center for Allied Health Education,NULL,15,0.8667,PrivacySuppressed
County College of Morris,NULL,7170,0.5833,38000
Cumberland County College,NULL,3384,0.4276,31500
Divers Academy International,NULL,130,0.8769,47800
