INSTNM,SAT_AVG_ALL,UGDS,UGDS_WHITE,MD_EARN_WNE_P10
Yavapai College,NULL,5112,0.5919,27700
University of Arkansas at Little Rock,990,7888,0.5158,33500
University of Arkansas for Medical Sciences,NULL,761,0.7556,60700
ABC Beauty College Inc,NULL,21,0.5714,PrivacySuppressed
Arkansas Baptist College,NULL,989,0.0394,22300
Arkansas Beauty School-Little Rock,NULL,74,0.0676,15500
Arkansas Beauty College,NULL,23,0.913,PrivacySuppressed
Lyon College,1120,675,0.7481,40500
Arkansas College of Barbering and Hair Design,NULL,176,0.0511,14700
Arthur's Beauty College Inc-Fort Smith,NULL,29,0.8276,15900
University of Arkansas,1154,21815,0.7722,43100
University of Arkansas at Pine Bluff,871,2526,0.0439,26700
Arkansas State University-Beebe,NULL,2889,0.8204,29000
Arkansas State University-Main Campus,1088,8909,0.7431,31700
Arkansas Tech University,NULL,8799,0.7571,33000
University of Arkansas at Monticello,NULL,2549,0.6269,30600
Arthur's Beauty College Inc-Jacksonville,NULL,54,0.7593,14100
Baptist Health College-Little Rock,1050,663,0.7285,44800
Black River Technical College,NULL,1289,0.9519,25600
University of Central Arkansas,1068,9340,0.6574,36900
Central Baptist College,968,777,0.6667,33700
Cossatot Community College of the University of Arkansas,NULL,1006,0.6034,23400
Crowley's Ridge College,NULL,181,0.9006,28000
Crowley's Ridge Technical Institute,NULL,205,0.3902,18200
East Arkansas Community College,NULL,721,0.5492,20300
Eastern College of Health Vocations-Little Rock,NULL,149,0.302,19600
Imagine-Paul Mitchell Partner School,NULL,315,0.6254,PrivacySuppressed
National Park College,NULL,2061,0.7797,24900
University of Arkansas Community College-Batesville,NULL,1054,0.8425,23800
Harding University,1135,4450,0.8301,38600
Henderson State University,988,3096,0.6586,34900
Hendrix College,1270,1303,0.7782,40600
Hot Springs Beauty College,NULL,38,0.7895,15400
Jefferson Regional Medical Center School of Nursing,NULL,67,0.8806,42000
John Brown University,1209,1684,0.7441,46200
Lees School of Cosmetology,NULL,22,0.3182,PrivacySuppressed
Career Academy of Hair Design,NULL,248,0.8226,19300
Academy of Salon and Spa,NULL,71,0.7042,PrivacySuppressed
Arkansas State University Mid-South,NULL,978,0.3374,21500
Arkansas Northeastern College,NULL,1014,0.6134,24600
Margaret's Hair Academy Inc,NULL,38,0.7105,15800
New Tyler Barber College Inc,NULL,59,0,14900
North Arkansas College,NULL,1502,0.8888,25000
Northwest Technical Institute,NULL,186,0.6828,24400
Ouachita Baptist University,1120,1471,0.8498,38400
College of the Ouachitas,NULL,764,0.7539,26200
Ozarka College,NULL,842,0.9739,22800
University of the Ozarks,1034,640,0.6563,38700
University of Arkansas Community College-Morrilton,930,1970,0.7508,27100
Philander Smith College,NULL,584,0.0017,23800
Phillips Community College of the University of Arkansas,NULL,708,0.4576,21500
Southeast Arkansas College,NULL,1357,0.3861,25000
Professional Cosmetology Education Center,NULL,41,0.7805,PrivacySuppressed
Pulaski Technical College,NULL,6844,0.4001,28000
University of Arkansas Community College-Hope,NULL,1043,0.5062,24000
Rich Mountain Community College,NULL,501,0.8563,21300
Paul Mitchell the School-Arkansas,NULL,108,0.8241,PrivacySuppressed
Searcy Beauty College,NULL,52,0.9231,14200
Shorter College,NULL,236,0.0127,NULL
Williams Baptist College,1010,490,0.8306,32100
South Arkansas Community College,NULL,1182,0.5398,27200
Southern Arkansas University Main Campus,988,2859,0.6327,34300
Southern Arkansas University Tech,NULL,697,0.5968,25800
Velvatex College of Beauty Culture,NULL,23,0.0435,PrivacySuppressed
University of Arkansas-Fort Smith,NULL,5754,0.6983,31300
Academy of Art University,NULL,8969,0.2318,37700
ITT Technical Institute-Rancho Cordova,NULL,415,0.4337,38800
Academy of Chinese Culture and Health Sciences,NULL,NULL,NULL,NULL
The Academy of Radio and TV Broadcasting,NULL,34,0.2941,29500
Avalon School of Cosmetology-Alameda,NULL,135,0.1778,20300
College of Alameda,NULL,5486,0.1413,31500
Allan Hancock College,NULL,9437,0.3443,29500
American Academy of Dramatic Arts-Los Angeles,NULL,295,0.4169,26000
American Baptist Seminary of the West,NULL,NULL,NULL,NULL
American Film Institute Conservatory,NULL,NULL,NULL,NULL
American Beauty College,NULL,79,0.1013,PrivacySuppressed
American Career College-Los Angeles,NULL,1543,0.0531,30600
American Conservatory Theater,NULL,1,1,PrivacySuppressed
American River College,NULL,26760,0.4567,30500
Antelope Valley College,NULL,12286,0.2321,27900
Art Center College of Design,NULL,1890,0.1788,50300
Associated Technical College-Los Angeles,NULL,377,0.0531,24200
Associated Technical College-San Diego,NULL,76,0.1579,17900
Azusa Pacific University,1080,5883,0.4375,50500
Bakersfield College,NULL,17918,0.2235,29500
Barstow Community College,NULL,2782,0.3249,30900
Bellus Academy-National City,NULL,164,0.0854,20400
Bethesda University,NULL,279,0.0753,PrivacySuppressed
Biola University,1115,4219,0.4895,43100
Brooks Institute,NULL,334,0.4042,30800
Brownson Technical School,NULL,46,0.2174,50400
Bryan University,NULL,1417,0.319,34100
Butte College,NULL,10646,0.6002,29400
Phillips Graduate University,NULL,NULL,NULL,NULL
California Institute of Integral Studies,NULL,78,0.4744,PrivacySuppressed
Cabrillo College,NULL,11696,0.4789,32100
California Baptist University,960,6604,0.3916,40700
California College of the Arts,NULL,1491,0.2676,34500
University of California-Hastings College of Law,NULL,NULL,NULL,102000
California Institute of Technology,1544,1001,0.2737,74200
California Lutheran University,1109,2802,0.4925,52800
California Polytechnic State University-San Luis Obispo,1259,19972,0.575,63100
Alliant International University-San Diego,NULL,342,0.3216,58000
California State University-Bakersfield,NULL,8068,0.2033,46600
California State University-Stanislaus,NULL,8093,0.2444,43800
California State University-San Bernardino,887,17518,0.1409,44800
California State Polytechnic University-Pomona,1066,22034,0.1936,51100
California State University-Chico,1003,15903,0.4601,45600
California State University-Dominguez Hills,NULL,12584,0.0805,43600
California State University-Fresno,897,21076,0.2134,43300
California State University-Fullerton,1024,33009,0.2211,44500
California State University-East Bay,NULL,12981,0.1614,50500
California State University-Long Beach,1056,32025,0.1881,47100
California State University-Los Angeles,874,23424,0.0714,43900
California State University-Northridge,902,36979,0.2278,43400
California State University-Sacramento,948,27323,0.29,47200
University of California-Berkeley,1397,27496,0.2689,61800
University of California-Davis,1226,28239,0.2832,56300
University of California-Irvine,1175,25245,0.1493,55100
University of California-Los Angeles,1339,29581,0.2714,58700
University of California-Riverside,1119,18597,0.1321,47300
University of California-San Diego,1344,26584,0.2144,58600
University of California-San Francisco,NULL,NULL,NULL,135500
University of California-Santa Barbara,1248,20606,0.3454,52500
University of California-Santa Cruz,1201,16231,0.3301,43700
Sofia University,NULL,10,0.4,NULL
California Beauty School,NULL,54,0.6481,PrivacySuppressed
California Christian College,NULL,18,0.2222,PrivacySuppressed
Le Cordon Bleu College of Culinary Arts-San Francisco,NULL,378,0.0767,35700
California Hair Design Academy,NULL,210,0.2,18100
California Institute of the Arts,NULL,942,0.4161,36500
California State University Maritime Academy,NULL,1072,0.5354,79000
California Western School of Law,NULL,NULL,NULL,74700
Canada College,NULL,5192,0.2752,33500
College of the Canyons,NULL,16628,0.3597,37900
Career Academy of Beauty,NULL,153,0.6078,19900
Casa Loma College-Van Nuys,NULL,356,0.2921,46400
CET-San Diego,NULL,307,0.1661,22000
CET-Sobrato,NULL,431,0.0441,22000
CET-El Centro,NULL,380,0.0105,22000
CET-Colton,NULL,189,0.2328,22000
CET-Watsonville,NULL,163,0.0491,22000
CET-Salinas,NULL,93,0.0108,22000
Cerritos College,NULL,20439,0.0454,30900
Cerro Coso Community College,NULL,4104,0.4613,26500
Chabot College,NULL,12255,0.167,34200
Chaffey College,NULL,18449,0.1722,29100
Chapman University,1217,6281,0.584,51900
Charles R Drew University of Medicine and Science,NULL,85,0.0941,61700
Concordia University-Irvine,1029,1863,0.4498,44300
San Diego Christian College,933,905,0.4641,34900
Church Divinity School of the Pacific,NULL,NULL,NULL,NULL
Citrus College,NULL,11599,0.1854,28800
Citrus Heights Beauty College,NULL,81,0.8395,NULL
City College of San Francisco,NULL,21619,0.23,34400
Claremont Graduate University,NULL,NULL,NULL,62700
Claremont McKenna College,1408,1325,0.4226,75000
Milan Institute-Visalia,NULL,354,0.1695,23500
Clovis Adult Education,NULL,612,0.2435,34500
Coastline Community College,NULL,9773,0.3077,31700
Cogswell College,NULL,630,0.4175,54600
Coleman University,NULL,346,0.4509,42000
Coba Cosmetology Academy,NULL,35,0.2286,18800
Western University of Health Sciences,NULL,NULL,NULL,129500
Columbia College,NULL,2173,0.7589,24800
Columbia College-Hollywood,NULL,326,0.4724,31700
El Camino College-Compton Center,NULL,6484,0.0302,31300
Contra Costa College,NULL,5052,0.1025,29800
Cosumnes River College,NULL,13315,0.245,27500
Crafton Hills College,NULL,5127,0.3885,32600
Cuesta College,NULL,7835,0.6153,35000
Cuyamaca College,NULL,7748,0.4804,26500
Cypress College,NULL,15175,0.1913,33900
De Anza College,NULL,20047,0.1941,40000
International School of Beauty Inc,NULL,186,0.2634,PrivacySuppressed
Dell'Arte International School of Physical Theatre,NULL,15,0.7333,PrivacySuppressed
College of the Desert,NULL,9516,0.1981,29500
Design Institute of San Diego,NULL,148,0.5811,33900
Diablo Valley College,NULL,17868,0.376,37900
Dominican University of California,1054,1358,0.3652,51900
Dominican School of Philosophy & Theology,NULL,NULL,NULL,NULL
East Los Angeles College,NULL,32384,0.0667,30100
El Camino Community College District,NULL,21885,0.1338,31300
Elegance International,NULL,462,0.2359,16400
Emperor's College of Traditional Oriental Medicine,NULL,NULL,NULL,NULL
Empire College,NULL,377,0.5119,34000
Evergreen Valley College,NULL,7313,0.0743,35000
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,NULL,2814,0.3326,35200
FIDM-Fashion Institute of Design & Merchandising-San Francisco,NULL,395,0.3671,35200
FIDM-Fashion Institute of Design & Merchandising-Orange County,NULL,92,0.3804,35200
Feather River Community College District,NULL,1574,0.4606,25600
Federico Beauty Institute,NULL,256,0.4609,24900
Fielding Graduate University,NULL,NULL,NULL,NULL
Five Branches University,NULL,NULL,NULL,PrivacySuppressed
Redondo Beach Beauty College,NULL,22,0.2273,NULL
Foothill College,NULL,13930,0.3332,45700
Franciscan School of Theology,NULL,NULL,NULL,NULL
Fredrick and Charles Beauty College,NULL,59,0.7458,PrivacySuppressed
Fresno City College,NULL,19180,0.2165,26600
Fresno Pacific University,988,2342,0.354,41000
Fuller Theological Seminary in California,NULL,NULL,NULL,PrivacySuppressed
Fullerton College,NULL,22529,0.2209,32800
Gavilan College,NULL,5176,0.3064,27300
Gemological Institute of America-Carlsbad,NULL,218,0.2752,40300
Glendale Community College,NULL,13928,0.4501,31900
Glendale Career College,NULL,287,0.2265,28100
Golden Gate University-San Francisco,NULL,451,0.2483,69200
Golden West College,NULL,11102,0.3174,30400
Graduate Theological Union,NULL,NULL,NULL,NULL
Grossmont College,NULL,16285,0.4116,33100
Salon Success Academy-Riverside,NULL,30,0.2333,14200
Hartnell College,NULL,10384,0.2043,31200
Harvey Mudd College,1484,812,0.383,74200
Hilltop Beauty School,NULL,132,0.0152,18800
Holy Names University,858,624,0.2115,51100
Pacifica Graduate Institute,NULL,NULL,NULL,NULL
Humboldt State University,990,8227,0.4491,34700
Humphreys University-Stockton and Modesto Campuses,NULL,438,0.2352,26800
Imperial Valley College,NULL,6816,0.0288,23000
Institute for Business and Technology,NULL,408,0.2157,32200
Interior Designers Institute,NULL,196,0.6378,31300
Toni & Guy Hairdressing Academy-Santa Monica,NULL,243,0.5267,PrivacySuppressed
Irvine Valley College,NULL,11499,0.3446,33900
ITT Technical Institute-National City,NULL,700,0.24,38800
ITT Technical Institute-San Dimas,NULL,420,0.2071,38800
ITT Technical Institute-Orange,NULL,666,0.2748,38800
Bellus Academy-El Cajon,NULL,118,0.4661,20500
John F. Kennedy University,NULL,216,0.3333,53700
American Jewish University,NULL,73,0.1918,PrivacySuppressed
Reedley College,NULL,7858,0.1964,24200
Life Pacific College,901,520,0.4846,28700
Argosy University-The Art Institute of California-San Diego,NULL,1382,0.3046,37800
University of La Verne,1034,5140,0.2245,48900
Laguna College of Art and Design,NULL,571,0.4956,31000
Lake Tahoe Community College,NULL,2062,0.5815,25000
Lancaster Beauty School,NULL,97,0.2474,15100
Laney College,NULL,10339,0.1534,27400
Lassen Community College,NULL,1940,0.4149,25800
